IVSRV9 | NumVSR,LOCSMQ | Marque,LVSRMO | Modele,CVSRGV | Generation,Carrosserie,LVSRVE | Version1,LVSRE1 | Version2,LVSRE2 | Version3,QVSRC8 | CylindreeArrondie,QVSRDI | PuisDin,Energie,,QVSRF9 | Pfiscale,BoiteVit,,segment,qvsrn9_nbplaces,qvsrdi_puisdin,mindedvsrdx_datedebcom,maxdedvsrfx_datefincom,boitevit_Manuelle,boitevit_Automatique,boitevit_Semi_Automatique,energie_Diesel,energie_Essence,energie_GPL_Essence,energie_Hyb_Ess_Elect,energie_Bio_Carburant_E85,energie_Electrique,energie_GNV_Essence,energie_Hyb_Die_Elect,Nb_DEVIS-1erSEM15,URL PHOTO PAR DEFAUT DU MODELE
73879,AUDI,A3,II,Berline,FSI 115 SPORTBACK,AMBITION,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
73878,AUDI,A3,II,Berline,FSI 115 SPORTBACK,AMBIENTE,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
73888,AUDI,A3,II,Berline,102 SPORTBACK,AMBIENTE TIPTRONIC,,1,6,102,Essence,,7,Semi Automatique,,,,,,,,,,,,,,,,,,
74921,AUDI,A3,II,Berline,TFSI 200 S-LINE DSG,,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
74922,AUDI,A3,II,Berline,TFSI 200 QUATTRO,AMBITION LUXE,,2,200,Essence,,13,Manuelle,,,,,,,,,,,,,,,,,,,
74923,AUDI,A3,II,Berline,TFSI 200 AMBITION,LUXE DSG,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
74064,AUDI,A3,II,Berline,TDI 140 SPORTBACK,S-LINE DSG,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
74063,AUDI,A3,II,Berline,TDI 140 SPORTBACK,S-LINE,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
73881,AUDI,A3,II,Berline,FSI 115 SPORTBACK,AMBITION LUXE,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
73877,AUDI,A3,II,Berline,FSI 115 SPORTBACK,ATTRACTION,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
74920,AUDI,A3,II,Berline,TFSI 200 QUATTRO,S-LINE,,2,200,Essence,,13,Manuelle,,,,,,,,,,,,,,,,,,,
74919,AUDI,A3,II,Berline,TFSI 200 AMBITION,DSG,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
74062,AUDI,A3,II,Berline,TDI 105 SPORTBACK,S-LINE,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
74061,AUDI,A3,II,Berline,V6 250 SPORTBACK,QUATT S-LINE,S-TRONIC 17CV,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
74053,AUDI,A3,II,Berline,102 SPORTBACK S-LINE,TIPTRONIC,,1,6,102,Essence,,7,Semi Automatique,,,,,,,,,,,,,,,,,,
74059,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,DSG S-LINE,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
74031,AUDI,A3,II,Berline,FSI 150 SPORTBACK,AMBITION LUXE,,2,150,Essence,,9,Manuelle,,,,,,,,,,,,,,,,,,,
74055,AUDI,A3,II,Berline,FSI 150 SPORTBACK,S-LINE TIPTRONIC,,2,150,Essence,,9,Semi Automatique,,,,,,,,,,,,,,,,,,,
74060,AUDI,A3,II,Berline,V6 250 SPORTBACK,QUATT S-LINE,,3,2,250,Essence,,17,Manuelle,,,,,,,,,,,,,,,,,,
74049,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBITION LUXE DSG,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
74047,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBITION LUXE,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
74043,AUDI,A3,II,Berline,TDI 105 SPORTBACK,AMBITION LUXE,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
74039,AUDI,A3,II,Berline,V6 250 SPORTBACK,QUATT AMBITION LUXE,DSG,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
74037,AUDI,A3,II,Berline,V6 250 SPORTBACK,QUATT AMBITION LUXE,BV6,3,2,250,Essence,,17,Manuelle,,,,,,,,,,,,,,,,,,
74035,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,DSG AMBITION LUXE,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
74034,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,QUATTRO AMBITION,LUXE,2,200,Essence,,13,Manuelle,,,,,,,,,,,,,,,,,,,
74032,AUDI,A3,II,Berline,FSI 150 SPORTBACK,AMBITION LUXE,TIPTRONIC,2,150,Essence,,9,Semi Automatique,,,,,,,,,,,,,,,,,,,
74918,AUDI,A3,II,Berline,TFSI 200 QUATTRO,AMBITION,,2,200,Essence,,13,Manuelle,,,,,,,,,,,,,,,,,,,
72984,AUDI,A3,II,Berline,FSI 115 AMBITION,LUXE,,1,6,116,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
73883,AUDI,A3,II,Berline,FSI 150 SPORTBACK,AMBIENTE,,2,150,Essence,,9,Manuelle,,,,,,,,,,,,,,,,,,,
72985,AUDI,A3,II,Berline,TDI 105 AMBITION,LUXE,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
96844,AUDI,A3,II,Berline,TDI 105 AMBITION,S-TRONIC 6CV,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96843,AUDI,A3,II,Berline,TDI 140 SPORTBACK,EXCLUSIVE LINE,S-TRONIC,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96775,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,ATTRACTION,,1,8,161,Essence,,10,Manuelle,,,,,,,,,,,,,,,,,,
96776,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,AMBITION,,1,8,161,Essence,,10,Manuelle,,,,,,,,,,,,,,,,,,
96778,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,AMBIENTE,,1,8,161,Essence,,10,Manuelle,,,,,,,,,,,,,,,,,,
96779,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,S-LINE,,1,8,161,Essence,,10,Manuelle,,,,,,,,,,,,,,,,,,
96845,AUDI,A3,II,Berline,TDI 140 S-LINE,S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96781,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,AMBITION LUXE,,1,8,161,Essence,,10,Manuelle,,,,,,,,,,,,,,,,,,
96856,AUDI,A3,II,Berline,TFSI 200 S-LINE,S-TRONIC,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
96785,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,AMBIENTE S-TRONIC,,1,8,161,Essence,,10,Semi Automatique,,,,,,,,,,,,,,,,,,
